stock_internet internet
stock_book-open open
stock_close close
stock_new-tab new
stock_add add
stock_remove remove
stock_apply apply
stock_cancel cancel
gnome-terminal terminal
stock_dialog_question question
stock_dialog_warning warning
stock_go-up up
stock_go-down down
stock_go-forward right
stock_go-back left
stock_import import
stock_refresh refresh
python2.4-16 python
stock_disconnect connect
stock_undo undo
stock_convert rename
stock_find find
gnome-devel debug
stock_run run
stock_fullscreen fullscreen
gnome-settings configure
calc profile
gnome-other project
gnome-mime-application-x-python text-x-python
gnome-mime-text text-plain
gnome-mime-text-html text-html
stock_delete delete
media-play step
media-next jump
media-forward continue
rox-show-details list
stock_stop stop
xfce-filemanager filemanager
xfce-graphics preview
gedit-icon editor
vcs_commit vcs_commit
vcs_update vcs_update
vcs_add vcs_add
vcs_remove vcs_remove
vcs_resolve vcs_resolve
vcs_diff vcs_diff
gazpacho gazpacho
stock_copy copy
stock_paste paste
stock_save save
stock_redo redo
stock_cut cut
